Frame number	209
First frame	956
Point frequency	200
Analog frequency	1200

Time	L.Trunk			R.Trunk			DistalTrunk			R.UpperArm			R.Elbow			R.Wrist			L.UpperArm			L.Elbow			L.Wrist			R.Crest			R.ASIS			Sacrum			OFFSET			L.ASIS			L.Crest			R.Hip			R.Thigh			R.Knee			R.TibTubercle			R.MidShank			R.DistalShank			R.Heel			R.DistalHeel			R.PosteriorFoot			R.LateralToe			R.Toe			R.MedialToe			L.Hip			L.Thigh			L.Knee			L.TibTubercle			L.MidShank			L.DistalShank			L.Heel			L.DistalHeel			L.PosteriorFoot			L.LateralToe			L.Toe			L.MedialToe			R.Shoulder			C7			Sternum			L.Shoulder			R.MedialKnee			R.Ankle			R.MedialAnkle			R.LateralFoot			R.MedialFoot			L.MedialKnee			L.Ankle			L.MedialAnkle			L.LateralFoot			L.MedialFoot			V_MidAsis			V_RHipDynamic			V_LHipDynamic			V_MidHip			V_Pelvis_Origin		
s	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
4.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.8	550.759	-52.836	1226.1	666.413	-76.2198	1218.33	618.028	-160.477	1197.45	824.97	-42.1238	975.974	864.913	-138.404	854.819	757.907	-146.792	615.191	343.114	21.1793	1005.27	281.947	-42.5301	866.963	387.077	-63.1549	627.157	723.721	-312.632	1016.88	0	0	0	566.334	-465.565	1062.86	491.211	-465.169	1056.72	0	0	0	416.028	-306.735	1035.12	752.695	-376.541	839.122	736.702	-246.401	613.456	743.804	-298.145	508.147	719.698	-226.949	442.602	780.436	-335.172	381.724	736.961	-283.762	275.699	732.876	-447.168	108.814	749.526	-456.755	71.4594	792.874	-424.413	87.2729	839.787	-216.848	102.477	809.857	-198.024	111.276	776.079	-210.383	106.33	373.407	-386.38	897.272	417.914	-257.929	608.447	399.567	-280.666	493.06	443.807	-239.313	438.578	370.271	-313.943	338.297	439.629	-283.687	277.394	413.207	-427.001	104.447	384.919	-427.932	72.4863	355.907	-388.732	98.3584	334.656	-189.052	111.491	370.75	-171.378	121.737	400.718	-180.513	115.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.805	551.018	-51.7396	1225.72	666.685	-74.8539	1217.68	618.503	-159.159	1197	825.029	-39.3342	974.51	865.108	-134.348	852.675	760.15	-139.576	611.96	342.319	23.6772	1005.22	280.504	-37.65	866.309	385.724	-53.4167	626.098	723.958	-310.745	1016.45	0	0	0	567.045	-463.915	1063.43	491.842	-463.686	1057.29	0	0	0	416.349	-305.488	1035.24	753.285	-374.395	839.527	736.357	-245.65	613.538	743.622	-297.764	508.196	719.762	-226.717	442.309	780.293	-335.099	381.819	736.944	-283.765	275.693	732.907	-447.301	108.723	749.478	-456.857	71.3942	792.843	-424.646	87.2221	840.181	-217.146	102.698	810.21	-198.239	111.477	776.437	-210.581	106.44	374.373	-385.899	897.349	418.443	-257.765	608.455	399.766	-280.888	493.158	443.735	-239.41	438.616	370.297	-314.161	338.439	439.642	-283.766	277.487	413.235	-427.101	104.362	385.001	-428.032	72.3994	355.891	-388.853	98.342	334.561	-189.216	111.664	370.647	-171.539	121.948	400.612	-180.653	115.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.81	551.291	-50.5676	1225.35	666.765	-73.7291	1216.89	618.79	-157.882	1196.57	824.944	-36.2606	973.196	865.308	-130.152	850.381	762.6	-131.737	608.735	341.749	26.0652	1005.29	279.163	-32.5159	865.633	384.518	-43.2089	625.077	724.076	-309.007	1015.98	0	0	0	567.61	-462.372	1063.66	492.33	-462.147	1057.64	0	0	0	416.724	-304.29	1035.24	753.516	-373.051	839.792	736.728	-244.898	613.182	743.392	-297.136	508.193	719.551	-226.42	441.972	780.158	-334.93	381.871	737.014	-283.73	275.612	732.737	-447.44	108.664	749.366	-456.987	71.3437	792.841	-424.925	87.2273	840.532	-217.473	102.781	810.573	-198.563	111.59	776.844	-210.794	106.568	374.023	-384.939	897.802	418.657	-257.633	608.432	399.952	-281.029	493.167	443.942	-239.647	438.545	370.392	-314.313	338.457	439.701	-284.02	277.393	413.231	-427.187	104.322	384.958	-428.142	72.2599	355.885	-388.945	98.3302	334.483	-189.348	111.773	370.563	-171.671	122.076	400.494	-180.736	115.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
